htrc-id,pubcity,pubyear,title,oclc,language
None,[Ismaning] ,2007,Robinson Crusoe : level 2 / [2] CD.,645548910,None
None,[Ismaning] ,2002,Robinson Crusoe : level 2 / [3] Activity book.,644307474,None
None,[Ismaning] ,2002,Activity book Robinson Crusoe,254120180,None
None,[Istanbul] ,1983,Robinson Crusoe,68358051,None
None,[Istanbul] ,1983,Robinson Crusoe,68358051,None
None,[Istanbul] ,1977,Robinson Crusoe,436974211,None
None,[Istanbul] ,1291,Tercüme-i Robenson,22154397,None
None,[København] ,1993,Robinson Crusoe,443507277,None
None,[København] ,1993,Robinson Crusoe,443507277,None
None,[København] ,1989,Robinson Crusoe,245666399,None
None,[København] ,1974,Robinson Crusoe,258115882,None
None,[Kbh.] ,2007,Robinson Crusoe,475173672,None
None,[Kbh.] ,2005,Robinson Crusoe,68399446,None
None,[Kbh.] ,1995,Robinson Crusoe,60971156,None
None,[Kbh.] ,1987,Robinson Crusoe,60921002,None
None,[Kbh.] ,1975,Robinson Crusoe,467130186,None
None,[Kbh.] ,1969,Robinson Crusoe,918595990,None
None,[Kbh.] ,1969,Robinson Crusoe,918595990,None
None,[Kbh.] ,1974,Robinson Crusoe,467142934,None
None,[Kbh.] ,1974,Robinson Crusoe,467142934,None
None,[Kbh.] ,1969,Robinson Crusoe,466805679,None
None,[Kbh.] ,1969,Robinson Crusoe,466805679,None
None,[Kbh.] ,1983,Robinson Crusoe : hans liv og forunderlige skæbne,60896998,None
None,[La Vergne ,2009,Robinson Crusoe : illustrated and unabridged,603891725,None
None,[La Vergne ,2009,Robinson Crusoe : illustrated and unabridged,603891725,None
None,[Lagarrigue] ,1993,Robinson,463617964,None
None,[Lagarrigue] ,1993,Robinson,463617964,None
None,[Legnano ,2016,Robinson Crusoe = Robinson Crusoe,935673697,None
None,[Leipzig] ,1909,"Das Leben und die gantz ungemeine Begebenheiten des weltberühmten Engelländers Robinson Crusoe / 1, ([1909]).",312253328,None
None,[Leipzig] ,1909,"Das Leben und die gantz ungemeine Begebenheiten des Weltberühmten Engelländers, Robinson Crusoe. 1",917627873,None
None,[León] ,1999,Robinson Crusoe,51170580,None
None,[Lieu de publication inconnu] ,1937,Robinson Crusoe,493603914,None
None,[Lisboa] ,1997,Robinson Crusoé,44637885,None
None,[London ,195-,Robinson Crusoe,316324191,None
None,[London ,183-,"The life and most surprising adventures of Robinson Crusoe, of York, mariner, who lived eight and twenty years on an uninhabited island",234361876,None
None,[London?] ,1933,Robinson Crusoe,646185522,None
None,[London?] ,1943,Robinson Crusoe pictures.,225342772,None
None,[London?] ,1943,Robinson Crusoe pictures.,225342772,None
None,[London?] ,1790,"The exploits of Robinson Crusoe, mariner, of York. Exhibiting a concise and clear narrative of his living twenty-eight years in an uninhabited island on the coast of America: the loss of his ship in a hurricane, by which his companions were drowned, and he alone preserved, being thrown on shore on a part of the wreck: and his miraculous preservation at last by means of pirates.",15864719,None
None,[London] ,1976,Robinson Crusoe,251825513,None
None,[London] ,"12, ",obinson Crusoe.,34264174,None
None,[London] ,192-,Robinson Crusoe.,1008132454,None
None,[London] ,2012,Daniel Defoe's Robinson Crusoe.,863625817,None
None,[London] ,1950,Robinson Crusoe,639300541,None
None,[London] ,1873,Robinson Crusoe.,496990637,None
None,[London] ,185-,Robinson Crusoe,425694110,None
None,[London] ,182-,Robinson Crusoe.,80525726,None
None,[London] ,187-,Robinson Crusoe. [And other stories].,15724881,None
None,[London] ,1820,"The life and surprizing adventures of Robinson Crusoe, of York, mariner who lived eight-and-twenty years, all alone, on an uninhabited island, near the mouth of a great river Oroonoque. With an account of his travels round three parts of the globe.",952418293,None
None,[London] ,1812,"The life and adventures of Robinson Crusoe : including an account of his shipwreck, and residence for twenty-nine years on an unknown island, the remarkable history of his deliverance ; and the extraordinary circumstances which afterwards befel him in various parts of the world.",1040506759,None
None,[London] ,184-,The Adventures of Robinson Crusoe.,264982040,None
None,[London] ,1740,"The life of Robinson Crusoe, of York, mariner.",1027493165,None
None,[London] ,1768,"The wonderful life and surprising adventures of that renowned hero Robinson Crusoe : who lived twenty eight years on an uninhabited island, which he afterwards colonised.",191217131,None
None,[London] ,1719,"The life and strange adventures of Robinson Crusoe of York, mariner : who lived eight and twenty years alone in an uninhated [sic] island on the coast of America, near the mouth of the great River Oroonoque : having been cast on shore by shipwreck, wherein all the men perished but himself : with an account how he was at last strangely delivered by pyrates",53348530,None
None,[London] ,1719,"The life and strange adventures of Robinson Crusoe of York, mariner: who lived eight and twety[sic] years alone in an uninhated[sic] island on the coast of America, near the mouth of the great river Oroonoque; having been cast on shore by shipwreck, wherein all the men perished but himself. With an account how he was at last strangely delivered by pyrates.",58961887,None
None,[London] ,1890,[The Life and surprising adventures of] Robinson Crusoe,254654779,None
None,[London] ,1890,[The Life and surprising adventures of] Robinson Crusoe,254654779,None
None,[London] ,1825,"[The life and surprising adventures of Robinson Crusoe, of York, mariner] ...",54156267,None
None,[London] ,1895,"Mr. Charles Wilmot's 12th grand pantomime at this theatre, Rollicking Robinson Crusoe : or, Harlequin Good Man Friday, who kept the house tidy, and Pretty Polly of Wapping Old Stairs",55169852,None
None,[London] ,1895,"Mr. Charles Wilmot's 12th grand pantomime at this theatre, Rollicking Robinson Crusoe : or, Harlequin Good Man Friday, who kept the house tidy, and Pretty Polly of Wapping Old Stairs",55169852,None
None,[London] ,1895,"Mr. Charles Wilmot's 12th grand pantomime at this theatre, Rollicking Robinson Crusoe : or, Harlequin Good Man Friday, who kept the house tidy, and Pretty Polly of Wapping Old Stairs",55169852,None
None,[London] ,1947,Robinson Crusoe. Retold from the book by Daniel Defoe. Illustrated by Heade.,800592853,None
None,[London] ,1905,--The works of Daniel Defoe--.,38897298,None
None,[London] ,1885,[Childhood's favourite tales,63084991,None
None,[London] ,1962,Robinson Kruso na kisiwa chake,643460721,None
None,[London] ,1962,Robinson Kruso na kisiwa chake,643460721,None
None,[London] Helbling Languages ,2016,Robinson Crusoe,1025334931,None
None,[London] Printed for the Booksellers ,1800,"The exploits of Robinson Crusoe, mariner, of York. Exhibiting a concise and clear narrative of his living twenty-ight [sic] years in an uninhabited island on the coast of America ...",11502629,None
None,[Longueuil ,2007,Robinson Crusoé,126073840,None
None,[Madrid] ,2004,Robinson Crusoe,606471685,None
None,[Madrid] ,1971,Robinson Crusoe,433851068,None
None,[Madrid] ,1962,Robinson Crusoe,433850891,None
