libcode,pubcity,pubyear,title,oclc,language
http://ufdc.ufl.edu/UF00074445,New York,1897,Robinson Crusoe,30345740,English
http://ufdc.ufl.edu/UF00073572,New York,1869,Robinson Crusoe,16161254,English
http://ufdc.ufl.edu/UF00074477,Philadelphia,1948,Robinson Crusoe,30373790,English
http://ufdc.ufl.edu/UF00072751,London (Strand)++Edinburgh,1820,Robinson Crusoe,63956309,English
http://ufdc.ufl.edu/UF00072753,Chiswick (College House),1822,Robinson Crusoe,27691505,English
http://ufdc.ufl.edu/UF00072757,Hartford Conn,1826,Robinson Crusoe,4447205,English
http://ufdc.ufl.edu/UF00001347,[London],1812,Robinson Crusoe,29632392,English
http://ufdc.ufl.edu/UF00073542,New York (No. 27 Chatham St.),1863.5,Robinson Crusoe,27606559,English
http://ufdc.ufl.edu/UF00073561,London++Cambridge,1866,Robinson Crusoe,18429358,English
http://ufdc.ufl.edu/UF00073573,New York,1869,Robinson Crusoe,20590980,English
http://ufdc.ufl.edu/UF00054522,New York,1889,Robinson Crusoe,30061023,English
http://ufdc.ufl.edu/UF00072801,Boston,1851.5,Robinson Crusoe,27866827,English
http://ufdc.ufl.edu/UF00023604,New York,1880,Robinson Crusoe,30304599,English
http://ufdc.ufl.edu/UF00072765,London (Fleet St.),1831,Robinson Crusoe,29632426,English
http://ufdc.ufl.edu/UF00026664,New York,1878,Robinson Crusoe,30760563,English
http://ufdc.ufl.edu/UF00081205,New York,1869,Robinson Crusoe : in words of one syllable,20590980,English
